Date,Account Balance,Predicted Label,Actual Label,Folder,Prediction Correct,Drawdown
2024-01-03 23:00:00,9900.0,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_30,True,0.0
2024-01-04 06:00:00,9951.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_37,True,0.0
2024-01-04 09:00:00,10151.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_40,True,0.0
2024-01-04 12:00:00,10351.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_43,True,0.0
2024-01-05 06:00:00,10251.999999999985,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_61,False,100.0
2024-01-08 06:00:00,10151.999999999985,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_85,False,200.0
2024-01-09 06:00:00,10215.999999999984,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_109,True,136.00000000000182
2024-01-09 12:00:00,10115.999999999984,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_115,False,236.00000000000182
2024-01-10 06:00:00,10154.999999999995,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_133,True,196.9999999999909
2024-01-12 07:00:00,10222.999999999996,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_182,True,128.9999999999891
2024-01-12 09:00:00,10422.999999999996,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_184,True,0.0
2024-01-15 01:00:00,10376.0,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_200,False,46.99999999999636
2024-01-15 05:00:00,10522.000000000002,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_204,True,0.0
2024-01-15 06:00:00,10668.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_205,True,0.0
2024-01-15 07:00:00,10868.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_206,True,0.0
2024-01-16 06:00:00,10768.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_229,False,100.0
2024-01-16 07:00:00,10668.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_230,False,200.0
2024-01-17 05:00:00,10763.000000000004,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_252,True,105.99999999998363
2024-01-17 11:00:00,10663.000000000004,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_258,True,205.99999999998363
2024-01-18 04:00:00,10563.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_275,False,305.99999999998363
2024-01-18 07:00:00,10463.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_278,False,405.99999999998363
2024-01-18 08:00:00,10363.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_279,False,505.99999999998363
2024-01-18 12:00:00,10263.000000000004,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_283,True,605.9999999999836
2024-01-19 04:00:00,10163.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_299,False,705.9999999999836
2024-01-19 05:00:00,10063.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_300,False,805.9999999999836
2024-01-19 10:00:00,10263.000000000004,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_305,True,605.9999999999836
2024-01-22 05:00:00,10163.000000000004,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_324,False,705.9999999999836
2024-01-22 06:00:00,10285.000000000004,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_325,True,583.9999999999836
2024-01-23 07:00:00,10485.000000000004,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_350,True,383.99999999998363
2024-01-24 05:00:00,10427.999999999985,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_372,False,441.0000000000018
2024-01-24 07:00:00,10381.999999999995,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_374,False,486.9999999999927
2024-01-25 08:00:00,10502.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_399,True,366.0
2024-01-26 08:00:00,10402.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_423,False,466.0
2024-01-26 12:00:00,10302.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_427,True,566.0
2024-01-29 06:00:00,10319.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_445,True,549.0
2024-01-29 07:00:00,10295.999999999985,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_446,False,573.0000000000018
2024-01-29 08:00:00,10311.99999999998,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_447,True,557.0000000000073
2024-01-29 09:00:00,10243.999999999978,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_448,False,625.0000000000091
2024-01-29 13:00:00,10143.999999999978,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_452,False,725.0000000000091
2024-01-29 22:00:00,10043.999999999978,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_461,True,825.0000000000091
2024-01-30 12:00:00,9943.999999999978,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_475,True,925.0000000000091
2024-01-30 16:00:00,10143.999999999978,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_479,True,725.0000000000091
2024-01-31 03:00:00,10291.99999999997,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_490,True,577.0000000000164
2024-01-31 04:00:00,10491.99999999997,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_491,True,377.00000000001637
2024-01-31 06:00:00,10391.99999999997,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_493,False,477.00000000001637
2024-01-31 07:00:00,10291.99999999997,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_494,False,577.0000000000164
2024-01-31 10:00:00,10191.99999999997,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_497,True,677.0000000000164
2024-02-01 14:00:00,10091.99999999997,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_525,True,777.0000000000164
2024-02-02 03:00:00,10094.99999999999,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_538,True,773.9999999999964
2024-02-02 04:00:00,10026.999999999989,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_539,False,841.9999999999982
2024-02-02 05:00:00,9972.99999999999,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_540,False,895.9999999999964
2024-02-05 06:00:00,9872.99999999999,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_565,False,995.9999999999964
2024-02-05 08:00:00,9927.999999999996,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_567,True,940.9999999999909
2024-02-05 10:00:00,9827.999999999996,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_569,False,1040.999999999991
2024-02-05 13:00:00,10027.999999999996,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_572,True,840.9999999999909
2024-02-05 16:00:00,9927.999999999996,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_575,False,940.9999999999909
2024-02-06 04:00:00,9961.999999999996,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_587,True,906.9999999999909
2024-02-07 06:00:00,10027.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_613,True,841.0000000000018
2024-02-08 06:00:00,10106.999999999993,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_637,True,761.9999999999945
2024-02-08 12:00:00,10006.999999999993,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_643,False,861.9999999999945
2024-02-12 06:00:00,10084.999999999993,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_685,True,783.9999999999945
2024-02-12 14:00:00,9984.999999999993,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_693,False,883.9999999999945
2024-02-15 07:00:00,10015.999999999996,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_758,True,852.9999999999909
2024-02-15 08:00:00,10048.99999999999,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_759,True,819.9999999999964
2024-02-16 05:00:00,10179.999999999984,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_780,True,689.0000000000036
2024-02-16 09:00:00,10138.999999999982,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_784,False,730.0000000000055
2024-02-19 06:00:00,10181.999999999996,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_805,True,686.9999999999909
2024-02-19 08:00:00,10186.999999999985,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_807,True,682.0000000000018
2024-02-19 21:00:00,10268.999999999967,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_820,True,600.00000000002
2024-02-20 06:00:00,10168.999999999967,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_829,False,700.00000000002
2024-02-20 07:00:00,10068.999999999967,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_830,False,800.00000000002
2024-02-21 00:00:00,10028.999999999949,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_847,False,840.0000000000382
2024-02-23 06:00:00,10060.999999999958,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_901,True,808.0000000000291
2024-02-26 08:00:00,10134.999999999955,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_927,True,734.0000000000327
2024-02-26 10:00:00,10284.99999999996,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_929,True,584.0000000000273
2024-02-26 23:00:00,10283.999999999953,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_942,False,585.0000000000346
2024-02-27 03:00:00,10246.999999999955,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_946,False,622.0000000000327
2024-02-27 04:00:00,10237.99999999994,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_947,False,631.0000000000473
2024-02-27 06:00:00,10278.999999999942,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_949,True,590.0000000000455
2024-02-28 03:00:00,10231.999999999945,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_970,False,637.0000000000418
2024-02-28 07:00:00,10131.999999999945,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_974,False,737.0000000000418
2024-02-28 15:00:00,10031.999999999945,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_982,True,837.0000000000418
2024-03-01 06:00:00,10115.99999999994,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1021,True,753.0000000000473
2024-03-01 08:00:00,10015.99999999994,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1023,True,853.0000000000473
2024-03-04 05:00:00,9975.999999999944,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1044,False,893.0000000000437
2024-03-05 06:00:00,9954.999999999962,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1069,False,914.0000000000255
2024-03-05 07:00:00,9944.999999999964,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1070,False,924.0000000000236
2024-03-05 20:00:00,10144.999999999964,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1083,True,724.0000000000236
2024-03-06 20:00:00,10344.999999999964,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1107,True,524.0000000000236
2024-03-12 06:00:00,10449.999999999964,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1189,True,419.00000000002365
2024-03-12 07:00:00,10567.99999999996,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1190,True,301.0000000000273
2024-03-12 14:00:00,10614.999999999956,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1197,True,254.00000000003092
2024-03-13 04:00:00,10634.999999999955,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1211,True,234.00000000003274
2024-03-13 05:00:00,10633.99999999997,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1212,False,235.00000000001637
2024-03-15 08:00:00,10575.999999999969,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1263,False,293.0000000000182
2024-03-15 09:00:00,10595.999999999989,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1264,True,272.9999999999982
2024-03-15 10:00:00,10633.999999999995,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1265,True,234.99999999999272
2024-03-18 03:00:00,10683.999999999989,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1282,True,184.99999999999818
2024-03-18 06:00:00,10659.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1285,False,209.0
2024-03-19 06:00:00,10668.99999999998,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1309,True,200.00000000000728
2024-03-20 05:00:00,10635.999999999964,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1332,False,233.00000000002365
2024-03-20 06:00:00,10592.99999999997,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1333,False,276.00000000001637
2024-03-21 08:00:00,10649.999999999967,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1359,True,219.00000000002
2024-03-21 10:00:00,10712.999999999958,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1361,True,156.0000000000291
2024-03-21 11:00:00,10912.999999999958,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1362,True,0.0
2024-03-21 12:00:00,11112.999999999958,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1363,True,0.0
2024-03-22 15:00:00,11012.999999999958,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1390,False,100.0
2024-03-25 01:00:00,11040.999999999964,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1400,True,71.99999999999454
2024-03-25 02:00:00,11052.999999999976,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1401,True,59.99999999998181
2024-03-25 09:00:00,11191.999999999976,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1408,True,0.0
2024-03-26 04:00:00,11178.99999999998,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1427,False,12.999999999996362
2024-03-27 07:00:00,11078.99999999998,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1454,False,112.99999999999636
2024-03-28 06:00:00,10978.99999999998,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1477,False,212.99999999999636
2024-03-28 07:00:00,11077.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1478,True,113.9999999999909
2024-03-28 14:00:00,11277.999999999985,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1485,True,0.0
2024-03-28 23:00:00,11177.999999999985,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1494,False,100.0
2024-03-29 04:00:00,11077.999999999985,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1499,False,200.0
2024-03-29 09:00:00,10997.999999999995,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1504,False,279.9999999999909
2024-03-29 10:00:00,10922.000000000007,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1505,False,355.9999999999782
2024-03-29 12:00:00,10996.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1507,True,280.9999999999982
2024-03-29 16:00:00,11196.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1511,True,80.99999999999818
2024-04-01 06:00:00,11188.99999999998,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1525,False,89.00000000000546
2024-04-01 07:00:00,11189.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1526,True,87.99999999999818
2024-04-01 19:00:00,11089.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1538,False,187.99999999999818
2024-04-02 07:00:00,10989.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1550,False,287.9999999999982
2024-04-02 08:00:00,10889.999999999987,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1551,False,387.9999999999982
2024-04-02 14:00:00,11089.999999999987,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1557,True,187.99999999999818
2024-04-03 04:00:00,11047.999999999978,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1571,False,230.00000000000728
2024-04-03 06:00:00,11008.999999999967,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1573,False,269.0000000000182
2024-04-03 14:00:00,10908.999999999967,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1581,True,369.0000000000182
2024-04-03 18:00:00,11108.999999999967,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1585,True,169.0000000000182
2024-04-04 05:00:00,11045.999999999976,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1596,False,232.0000000000091
2024-04-04 07:00:00,10994.999999999975,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1598,False,283.0000000000109
2024-04-04 08:00:00,10957.999999999976,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1599,False,320.0000000000091
2024-04-05 10:00:00,11080.999999999984,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1625,True,197.00000000000182
2024-04-05 11:00:00,11280.999999999984,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1626,True,0.0
2024-04-05 15:00:00,11180.999999999984,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1630,True,100.0
2024-04-08 07:00:00,11222.999999999993,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1646,True,57.999999999990905
2024-04-08 09:00:00,11294.999999999976,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1648,True,0.0
2024-04-10 10:00:00,11305.999999999982,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1697,True,0.0
2024-04-15 06:00:00,11505.999999999982,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1765,True,0.0
2024-04-16 09:00:00,11405.999999999982,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1792,False,100.0
2024-04-16 10:00:00,11305.999999999982,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1793,True,200.0
2024-04-17 06:00:00,11405.99999999997,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1813,True,100.00000000001091
2024-04-17 13:00:00,11305.99999999997,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1820,True,200.0000000000109
2024-04-19 07:00:00,11205.99999999997,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1862,False,300.0000000000109
2024-04-19 09:00:00,11105.99999999997,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_1864,True,400.0000000000109
